prédiction,réelle
3179.3698044672456,1824.29
3491.981644422209,2331.52
38069.735945236986,38511.63
15905.838096689986,20167.34
7095.677030540872,4466.62
2979.352898598496,1615.77
5073.203472445701,3268.85
18540.084456764653,18328.24
41380.105331981336,42560.43
7284.303982243693,5373.36
4506.577669699174,2897.32
18860.096297887612,16776.3
2881.3074665314452,1737.38
12375.742664514863,19749.38
47891.133760610595,63770.43
10970.818586909363,27117.99
6209.472532786851,23288.93
37563.12458562861,36837.47
19015.474060294277,19023.26
12041.056410160672,12094.48
3163.4220489743966,1769.53
10540.589246551941,8782.47
35728.08696169029,34439.86
8315.320810741781,7348.14
7252.628619185751,4618.08
3655.343544581712,27724.29
8729.003931883677,6746.74
24887.927190243976,25309.49
12371.578943060596,11842.62
10272.034273507137,8342.91
6706.484261591362,4795.66
14742.066977989878,14449.85
16348.3174748805,15170.07
15297.706755140913,14410.93
2871.103874520537,1705.62
9110.248519885978,8539.67
8850.47467301112,17929.3
2871.103874520537,1704.57
12486.207770515863,11576.13
8721.623467922698,7325.05
8074.0813419700735,6393.6
7116.551145608992,4949.76
8445.800077294341,7153.55
13581.507569961059,12731.0
48531.01449787115,49577.66
6973.26929927249,5472.45
17353.9758181361,17663.14
5645.018751303509,3875.73
16765.319423982586,14590.63
39726.94667107381,37270.15
13320.43120026026,11881.36
47526.84305094362,48517.56
11568.269158421994,11082.58
3229.9091981748898,1837.24
3448.818097720843,2045.69
13010.865006824688,11741.73
4527.733481245363,3578.0
6565.051720592046,5354.07
4679.413848455119,3070.81
38126.17014413542,39241.44
16607.766606291963,15359.1
6831.359360710787,5400.98
7565.6780194022485,6358.78
8358.241457792496,6593.51
15986.556802136187,14711.74
12004.601024524758,11830.61
6706.05141652804,4673.39
48568.985904386194,47305.3
6262.269625357876,3481.87
10079.296707355606,8944.12
4322.04268639892,3180.51
5236.355267889574,4076.5
6121.500954145438,4340.44
5961.021798694272,4719.52
13498.01751038908,12244.53
12722.379005800005,12235.84
20423.576211204476,20234.85
10774.354702250346,9288.03
3539.9262064111826,2404.73
46416.76745260754,45008.96
22706.24618424444,21659.93
5659.550797637616,3766.88
10846.55830484352,10065.41
15545.355847470979,27941.29
9537.070911165629,8457.82
8729.003931883677,6748.59
14070.608559692031,12913.99
9438.72769336549,8125.78
5603.287637621086,4296.27
3727.918161549391,2104.11
20340.472927873772,18259.22
11364.826891691508,9866.3
9753.570227452947,9182.17
37270.815592066254,36021.01
10079.874160553662,9361.33
12748.792560577373,11253.42
11463.130106043134,26392.26
44915.60084693709,43578.94
9511.46334465192,7633.72
6505.495344362733,4349.46
17703.34928547003,15006.58
45014.89823844418,46200.99
21716.328769506646,20296.86
6857.599926054521,27375.9
3830.576428157812,7323.73
11761.397650389657,9778.35
5733.567801969268,4137.52
9316.864061226483,12797.21
3830.576428157812,2196.47
12367.067191761931,11299.34
46490.33470794112,45702.02
17593.070953201306,17468.98
10000.572966017353,8601.33
4326.208582063682,2927.06
18459.414129781988,17043.34
4090.7274000397592,2457.21
9448.314816793309,18806.15
10433.439553305356,8765.25
7925.224047172929,6858.48
11332.718527992198,10085.85
11387.994068069382,9957.72
12865.242541386095,11931.13
10149.538950469485,9193.84
13637.726728848767,12363.55
38348.056048017315,38711.0
6321.806964234065,5272.18
8371.308165866478,6338.08
5689.013215937104,4646.76
10977.524020898163,9447.38
12821.22608386186,11833.78
2417.5076259466296,1137.01
3281.26495860652,2257.48
14575.201996838277,36910.61
2871.103874520537,1694.8
4445.893967061093,3443.06
6722.535614146489,11737.85
7179.192965894665,5478.04
3225.8553875133402,1815.88
8011.112173858617,5836.52
43249.4664330417,44400.41
5590.871328946352,4500.34
38633.37262665818,37742.58
14612.339233060262,12495.29
4456.501094698415,2719.28
12673.22007864012,11657.72
3974.4343648777212,2480.98
13293.64328419678,12142.58
39240.483275033956,40419.02
19846.151386457343,19521.97
13014.592214557711,24227.34
2647.973575056727,2020.18
39146.41603354311,38709.18
6583.9327564724645,18157.88
39909.32956916516,39836.52
2881.3074665314452,1743.21
9309.007003537521,7209.49
12384.02617544931,11365.95
23286.171267428253,22218.11
48708.112967923604,46718.16
38449.83884666691,38282.75
2871.103874520537,1704.7
9054.26043065445,7144.86
3910.691789949218,2464.62
6082.215155847714,4237.13
2417.5076259466296,1141.45
13917.441431751853,29186.48
15738.640758995038,14382.71
8796.63499163783,7077.19
47234.90413662449,47269.85
