prediction,réelle
7444.515391352819,1824.29
31988.327834168536,41999.52
5459.418368007075,2331.52
26628.86592836782,38511.63
19500.209016184104,20167.34
9175.159526226387,4466.62
12696.847474218275,9724.53
8826.72055498991,3268.85
21252.354506132222,18328.24
15336.197907325826,15019.76
30878.84856707003,42560.43
10330.01545864566,5373.36
6579.3660325124765,2897.32
22001.755587161955,16776.3
5077.802831749801,1737.38
11720.239775275157,19749.38
27918.398420560705,63770.43
10972.108451470609,27117.99
7620.231760172577,23288.93
26807.911326146943,36837.47
8085.721698376799,5312.17
22938.053211541963,19023.26
11309.605226517793,12094.48
5213.050987304505,1769.53
10264.469517589367,8782.47
25486.31443470347,34439.86
11000.844363184675,7348.14
7559.896348567028,27724.29
9580.48816758981,6746.74
13422.243471860618,11842.62
12451.2161113359,8342.91
9851.020511646791,4795.66
6051.896866171166,2842.76
12740.92789023128,14449.85
15513.03563122975,15170.07
15131.069300651436,14410.93
11447.339332252232,7445.92
5388.94391726884,1705.62
11487.207048787775,17929.3
5388.94391726884,1704.57
12329.688833153816,9174.14
13284.512913554321,11576.13
9662.082518670182,7325.05
9077.892912873052,6393.6
9992.445675254441,4949.76
9346.502397800034,7153.55
34105.15452063829,49577.66
8224.613597838585,5472.45
23450.971088546266,17663.14
7022.871362503196,2261.57
9450.87163995179,3875.73
15551.875677311637,14590.63
27457.60082168917,37270.15
31406.257704384298,48517.56
11308.276378217197,11082.58
5305.079513829649,1837.24
5534.365386355472,2045.69
11656.764066294458,11741.73
8335.09250674898,3578.0
8229.549167125033,5354.07
6740.284324884844,3070.81
27866.005229780865,39241.44
20260.103761829498,15359.1
10645.554543015951,5400.98
10727.483913603952,6358.78
9504.384040099485,6593.51
19565.355504221443,14711.74
11452.413916148274,11830.61
10194.439546127527,4673.39
31649.71962273549,47305.3
11241.981445276384,9620.33
8917.141234219249,3481.87
13039.872013481465,8944.12
6554.145848567552,3180.51
9195.357247353284,4076.5
7597.21855181454,4340.44
7776.109452729819,4719.52
13605.215841600897,12235.84
21532.319089707627,20234.85
10883.39362468854,9288.03
23537.70040766916,21659.93
8982.553599758852,3766.88
10710.549315509508,10065.41
15149.584685928785,27941.29
11853.523947935804,8457.82
9580.48816758981,6748.59
12618.087364807217,12913.99
12108.61630298375,8125.78
7038.510888383673,4296.27
5782.682228638536,2104.11
22818.592085095395,18259.22
12878.915732716345,9866.3
27146.809496084097,36021.01
10251.374311752657,8988.16
10521.227426061589,9361.33
11691.404713341848,11253.42
12824.346498942952,26392.26
29994.628873361256,43578.94
9478.785933734212,4349.46
21297.825889637304,15006.58
27377.743383760717,46200.99
22518.269449810756,20296.86
8607.795782635609,27375.9
5607.641196684674,7323.73
12997.989600803494,9778.35
7512.653209700637,4137.52
11653.480220718677,12797.21
5607.641196684674,2196.47
11641.946706087654,7749.16
27575.09434413811,45702.02
7195.640104041131,4005.42
12861.459909835605,9058.73
19422.19082799453,17468.98
24369.623999426858,21098.55
10425.326450573171,8601.33
9025.813316773307,2927.06
21729.137197113247,17043.34
5919.871426862068,2457.21
12133.593023084317,18806.15
12414.465619895895,8765.25
9312.204994824166,6858.48
12877.457346153056,10085.85
12408.789837256672,19144.58
11226.11495511873,9957.72
11990.23127922816,11931.13
10358.263434052174,9193.84
14250.182923662262,12363.55
12170.714214861047,8240.59
28001.983013921217,38711.0
9701.601640328412,5272.18
11421.065823402234,6338.08
9541.97355769116,4646.76
10903.935570873633,9447.38
11990.343071675443,11833.78
6588.429141284356,1137.01
5410.556752431341,2257.48
7319.909924592541,2055.32
14274.524512630742,36910.61
5388.94391726884,1694.8
8483.769423315087,3443.06
8143.501475542384,11737.85
8547.832976932443,5478.04
